Transporte	trip_duration	trip_duration_hrs	dist_meters	dist_km	wait_sec	wait_min	Vel_mts_seg	Vel_km_hr
Taxi Libre	204	0.056666667	835	0.835	53	0.883333333	4.09	14.74
Taxi de Sitio	1323	0.3675	5509	5.509	514	8.566666667	4.16	14.99
Taxi de Sitio	861	0.239166667	3334	3.334	446	7.433333333	3.87	13.94
Taxi de Sitio	336	0.093333333	1821	1.821	54	0.9	5.42	19.51
Taxi de Sitio	678	0.188333333	2907	2.907	247	4.116666667	4.29	15.44
Taxi de Sitio	887	0.246388889	8960	8.96	194	3.233333333	10.1	36.37
Taxi Libre	420	0.116666667	2038	2.038	101	1.683333333	4.85	17.47
Taxi Libre	1250	0.347222222	2927	2.927	652	10.86666667	2.34	8.43
Taxi Libre	678	0.188333333	3113	3.113	223	3.716666667	4.59	16.53
Taxi Libre	374	0.103888889	1949	1.949	75	1.25	5.21	18.76
Taxi de Sitio	1175	0.326388889	4595	4.595	597	9.95	3.91	14.08
Taxi Libre	350	0.097222222	1089	1.089	3668	61.13333333	3.11	11.2
Taxi Libre	1425	0.395833333	3955	3.955	847	14.11666667	2.78	9.99
Taxi Libre	164	0.045555556	541	0.541	3615	60.25	3.3	11.88
Taxi de Sitio	2504	0.695555556	5765	5.765	1674	27.9	2.3	8.29
Taxi Libre	348	0.096666667	1692	1.692	98	1.633333333	4.86	17.5
Taxi Libre	768	0.213333333	3719	3.719	288	4.8	4.84	17.43
Taxi Libre	1269	0.3525	5525	5.525	670	11.16666667	4.35	15.67
Taxi de Sitio	867	0.240833333	5487	5.487	158	2.633333333	6.33	22.78
Taxi Libre	867	0.240833333	5284	5.284	205	3.416666667	6.09	21.94
Taxi Libre	505	0.140277778	729	0.729	312	5.2	1.44	5.2
Taxi Libre	690	0.191666667	3177	3.177	233	3.883333333	4.6	16.58
Taxi Libre	1444	0.401111111	6496	6.496	619	10.31666667	4.5	16.2
Taxi Libre	1076	0.298888889	6123	6.123	249	4.15	5.69	20.49
Taxi Libre	474	0.131666667	4255	4.255	323	5.383333333	8.98	32.32
Taxi de Sitio	1188	0.33	8968	8.968	366	6.1	7.55	27.18
Taxi de Sitio	592	0.164444444	4473	4.473	51	0.85	7.56	27.2
Taxi Libre	653	0.181388889	3158	3.158	260	4.333333333	4.84	17.41
Taxi de Sitio	1520	0.422222222	6870	6.87	707	11.78333333	4.52	16.27
Taxi de Sitio	1173	0.325833333	7104	7.104	312	5.2	6.06	21.8
Taxi Libre	378	0.105	3280	3.28	255	4.25	8.68	31.24
Taxi Libre	378	0.105	1309	1.309	368	6.133333333	3.46	12.47
Taxi Libre	498	0.138333333	1802	1.802	232	3.866666667	3.62	13.03
Taxi Libre	1156	0.321111111	1921	1.921	374	6.233333333	1.66	5.98
Taxi Libre	486	0.135	3150	3.15	147	2.45	6.48	23.33
Taxi de Sitio	1296	0.36	1347	1.347	201	3.35	1.04	3.74
Taxi de Sitio	1033	0.286944444	1022	1.022	830	13.83333333	0.99	3.56
Taxi Libre	1190	0.330555556	7716	7.716	273	4.55	6.48	23.34
Taxi Libre	385	0.106944444	1793	1.793	106	1.766666667	4.66	16.77
Taxi Libre	284	0.078888889	1384	1.384	86	1.433333333	4.87	17.54
Taxi de Sitio	492	0.136666667	1888	1.888	257	4.283333333	3.84	13.81
Taxi Libre	1304	0.362222222	6915	6.915	478	7.966666667	5.3	19.09
Taxi de Sitio	435	0.120833333	913	0.913	49	0.816666667	2.1	7.56
Taxi Libre	637	0.176944444	506	0.506	579	9.65	0.79	2.86
Taxi Libre	1028	0.285555556	4231	4.231	320	5.333333333	4.12	14.82
Taxi de Sitio	1662	0.461666667	2590	2.59	1139	18.98333333	1.56	5.61
Taxi de Sitio	642	0.178333333	2836	2.836	217	3.616666667	4.42	15.9
Taxi Libre	1043	0.289722222	6946	6.946	283	4.716666667	6.66	23.97
Taxi de Sitio	439	0.121944444	2587	2.587	112	1.866666667	5.89	21.21
Taxi Libre	945	0.2625	3495	3.495	206	3.433333333	3.7	13.31
Taxi Libre	280	0.077777778	1742	1.742	44	0.733333333	6.22	22.4
