"","id","vendor_id","pickup_datetime","dropoff_datetime","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","store_and_fwd_flag","trip_duration","trip_duration_hrs","dist_meters","dist_km","wait_sec","wait_min"
"1",3,"México DF Taxi Libre","18/09/2016 10:11","18/09/2016 10:23",-99.28960286,19.32626257,-99.2718736,19.32853031,"N",681,0.19,2848,2.848,129,2.15
"2",4,"México DF Taxi Libre","18/09/2016 10:23","18/09/2016 10:30",-99.27116092,19.32887516,-99.27989983,19.32625581,"N",436,0.12,1409,1.409,106,1.766666667
"3",5,"México DF Taxi Libre","18/09/2016 10:44","18/09/2016 10:51",-99.28276056,19.32694425,-99.29170493,19.3227536,"N",442,0.12,1567,1.567,85,1.416666667
"4",6,"México DF Taxi Libre","18/09/2016 10:58","18/09/2016 10:59",-99.28971174,19.32292909,-99.28928032,19.32597834,"N",100,0.03,797,0.797,19,0.316666667
"5",7,"México DF Taxi Libre","18/09/2016 11:00","18/09/2016 11:05",-99.28539143,19.32624657,-99.28254919,19.32811713,"N",345,0.1,676,0.676,169,2.816666667
"6",8,"México DF Taxi Libre","18/09/2016 11:08","18/09/2016 11:17",-99.28589116,19.33002207,-99.289828,19.31916966,"N",544,0.15,3771,3.771,37,0.616666667
"7",12,"México DF Taxi Libre","18/09/2016 11:28","18/09/2016 11:34",-99.29033998,19.33121437,-99.29489573,19.32068669,"N",349,0.1,1693,1.693,33,0.55
"8",13,"México DF Taxi de Sitio","18/09/2016 04:12","18/09/2016 04:21",-99.17962947,19.43858941,-99.17910745,19.43877742,"N",521,0.14,2279,2.279,181,3.016666667
"9",14,"México DF Taxi de Sitio","18/09/2016 04:27","18/09/2016 04:35",-99.16758945,19.371335,-99.17055068,19.38758295,"N",490,0.14,2725,2.725,125,2.083333333
"10",18,"México DF Taxi Libre","18/09/2016 08:46","18/09/2016 08:53",-99.28123392,19.3337681,-99.29014936,19.32568913,"N",391,0.11,3309,3.309,34,0.566666667
"11",19,"México DF Taxi Libre","18/09/2016 09:34","18/09/2016 09:44",-99.28921858,19.33654562,-99.27128298,19.32476607,"N",613,0.17,5651,5.651,34,0.566666667
"12",20,"México DF Taxi Libre","18/09/2016 09:46","18/09/2016 09:47",-99.27269985,19.32256212,-99.27339274,19.32726307,"N",88,0.02,602,0.602,20,0.333333333
"13",21,"México DF Taxi Libre","18/09/2016 09:48","18/09/2016 09:59",-99.27363356,19.32746616,-99.27993955,19.34338569,"N",668,0.19,3931,3.931,21,0.35
"14",22,"México DF Taxi Libre","18/09/2016 10:04","18/09/2016 10:30",-99.27246424,19.34555382,-99.26972639,19.33603828,"N",1555,0.43,6172,6.172,310,5.166666667
"15",23,"México DF Taxi Libre","18/09/2016 11:56","19/09/2016 12:08",-99.28475782,19.32662957,-99.29724096,19.32164816,"N",750,0.21,2148,2.148,226,3.766666667
"16",24,"México DF Taxi Libre","19/09/2016 12:14","19/09/2016 12:15",-99.30131532,19.31949415,-99.30155234,19.31917163,"N",81,0.02,442,0.442,16,0.266666667
"17",26,"México DF Taxi de Sitio","19/09/2016 01:39","19/09/2016 01:42",-99.06235937,19.4133857,-99.05345153,19.42697369,"N",203,0.06,2399,2.399,3,0.05
"18",29,"México DF Taxi de Sitio","19/09/2016 10:16","19/09/2016 10:28",-99.17020477,19.46398671,-99.15494316,19.47194766,"N",767,0.21,3920,3.92,362,6.033333333
"19",30,"México DF UberXL","19/09/2016 12:30","19/09/2016 12:33",-99.1736026,19.38998877,-99.17360158,19.38998842,"N",172,0.05,27,0.027,174,2.9
"20",31,"México DF Radio Taxi","19/09/2016 12:16","19/09/2016 12:41",-99.21624399,19.28442822,-99.14870707,19.29987071,"N",1474,0.41,10114,10.114,508,8.466666667
"21",32,"México DF Taxi de Sitio","18/09/2016 04:12","18/09/2016 04:21",-99.17962947,19.43858941,-99.17910745,19.43877742,"N",521,0.14,2279,2.279,181,3.016666667
"22",33,"México DF Taxi de Sitio","19/09/2016 01:41","19/09/2016 01:42",-99.17968434,19.43837668,-99.17739423,19.43789528,"N",101,0.03,296,0.296,52,0.866666667
"23",34,"México DF UberX","19/09/2016 02:04","19/09/2016 02:12",-99.16225246,19.38629816,-99.17353636,19.3898593,"N",446,0.12,2692,2.692,49,0.816666667
"24",35,"México DF Taxi de Sitio","19/09/2016 02:04","19/09/2016 02:13",-99.17950537,19.43867815,-99.1599107,19.43645153,"N",569,0.16,2794,2.794,250,4.166666667
"25",37,"México DF Taxi de Sitio","19/09/2016 02:32","19/09/2016 02:41",-99.17968407,19.4387048,-99.17265096,19.43318468,"N",523,0.15,1447,1.447,326,5.433333333
"26",39,"México DF Taxi de Sitio","19/09/2016 03:06","19/09/2016 03:10",-99.17960413,19.43851605,-99.17432645,19.44283915,"N",290,0.08,1064,1.064,124,2.066666667
"27",41,"México DF Taxi de Sitio","19/09/2016 03:30","19/09/2016 03:39",-99.1795098,19.43871512,-99.17432343,19.43909732,"N",535,0.15,866,0.866,97,1.616666667
"28",42,"México DF Taxi Libre","19/09/2016 03:41","19/09/2016 03:59",-99.15145253,19.46627291,-99.16676179,19.43522525,"N",1076,0.3,5356,5.356,471,7.85
"29",44,"México DF Taxi de Sitio","19/09/2016 04:40","19/09/2016 04:50",-99.17952832,19.43873099,-99.16335011,19.44284192,"N",565,0.16,2989,2.989,178,2.966666667
"30",45,"México DF Taxi de Sitio","19/09/2016 05:24","19/09/2016 05:31",-99.17950117,19.43866756,-99.17296069,19.44452018,"N",453,0.13,2441,2.441,109,1.816666667
"31",46,"México DF Taxi Libre","19/09/2016 07:23","19/09/2016 07:23",-99.2465338,19.30461804,-99.24650326,19.3046188,"N",36,0.01,22,0.022,33,0.55
"32",47,"México DF Taxi de Sitio","19/09/2016 07:29","19/09/2016 07:34",-99.17942053,19.43860953,-99.17404116,19.43492501,"N",294,0.08,829,0.829,156,2.6
"33",48,"México DF Taxi de Sitio","19/09/2016 07:44","19/09/2016 07:59",-99.17939461,19.43875494,-99.18214155,19.44816225,"N",919,0.26,2819,2.819,446,7.433333333
"34",49,"México DF Taxi de Sitio","19/09/2016 08:08","19/09/2016 08:16",-99.17932942,19.43865838,-99.17276556,19.44909354,"N",502,0.14,1908,1.908,203,3.383333333
"35",50,"México DF Radio Taxi","19/09/2016 08:33","19/09/2016 08:40",-99.06729633,19.47939885,-99.05611376,19.46243379,"N",429,0.12,3741,3.741,86,1.433333333
"36",52,"México DF Taxi Libre","19/09/2016 09:45","19/09/2016 09:57",-99.2743226,19.33553104,-99.28512902,19.34628964,"N",739,0.21,6740,6.74,89,1.483333333
"37",53,"México DF Taxi de Sitio","19/09/2016 09:45","19/09/2016 10:00",-99.1794758,19.43859797,-99.1829258,19.44265211,"N",939,0.26,3383,3.383,246,4.1
"38",54,"México DF Taxi Libre","19/09/2016 09:59","19/09/2016 10:09",-99.28702192,19.34502905,-99.27496029,19.33273376,"N",642,0.18,3548,3.548,65,1.083333333
"39",55,"México DF Taxi Libre","19/09/2016 11:01","19/09/2016 11:02",-99.27988627,19.34009611,-99.28628983,19.32979195,"N",73,0.02,1419,1.419,45,0.75
"40",56,"México DF Taxi Libre","19/09/2016 11:02","19/09/2016 11:13",-99.28643986,19.32985678,-99.29719437,19.32132432,"N",614,0.17,3071,3.071,50,0.833333333
"41",57,"México DF Taxi Libre","19/09/2016 11:31","19/09/2016 11:32",-99.29815735,19.32222815,-99.29705968,19.32213907,"N",42,0.01,124,0.124,30,0.5
"42",59,"México DF Taxi Libre","20/09/2016 06:23","20/09/2016 06:33",-99.20122515,19.39126332,-99.18822134,19.40110097,"N",602,0.17,1899,1.899,170,2.833333333
"43",61,"México DF Taxi Libre","20/09/2016 08:22","20/09/2016 08:23",-99.28183055,19.3252286,-99.28209469,19.32710532,"N",41,0.01,249,0.249,26,0.433333333
"44",64,"México DF Taxi de Sitio","20/09/2016 10:55","20/09/2016 11:14",-99.17363414,19.38979949,-99.18981532,19.35601325,"N",1134,0.32,5887,5.887,471,7.85
"45",66,"México DF Taxi de Sitio","20/09/2016 12:36","20/09/2016 12:43",-99.17955827,19.43856396,-99.18491438,19.43528448,"N",433,0.12,1274,1.274,228,3.8
"46",71,"México DF Taxi Libre","20/09/2016 03:20","20/09/2016 03:23",-99.13267606,19.48163887,-99.13286234,19.47729882,"N",147,0.04,829,0.829,12,0.2
"47",72,"México DF Taxi de Sitio","20/09/2016 03:27","20/09/2016 03:34",-99.17960945,19.43847512,-99.174511,19.44046935,"N",440,0.12,1455,1.455,207,3.45
"48",76,"México DF Taxi de Sitio","20/09/2016 07:05","20/09/2016 07:24",-99.1795831,19.43858045,-99.16560421,19.44516566,"N",1135,0.32,3880,3.88,478,7.966666667
"49",77,"México DF Taxi Libre","20/09/2016 12:55","20/09/2016 01:03",-99.28566983,19.32610562,-99.29729064,19.32172569,"N",516,0.14,4510,4.51,58,0.966666667
"50",78,"México DF Taxi Libre","20/09/2016 07:57","20/09/2016 08:20",-99.27655711,19.34434622,-99.28361157,19.32771066,"N",1346,0.37,6589,6.589,394,6.566666667
"51",79,"México DF Taxi de Sitio","20/09/2016 08:19","20/09/2016 08:44",-99.17970301,19.43870496,-99.21801401,19.45213684,"N",1483,0.41,5805,5.805,363,6.05
"52",82,"México DF Taxi de Sitio","20/09/2016 09:09","20/09/2016 09:39",-99.17947849,19.43866265,-99.17946185,19.43865279,"N",1796,0.5,5235,5.235,200,3.333333333
"53",84,"México DF Taxi Libre","20/09/2016 08:21","20/09/2016 08:32",-99.28276466,19.33028921,-99.28346605,19.32674113,"N",656,0.18,3311,3.311,119,1.983333333
"54",87,"México DF Taxi Libre","21/09/2016 08:59","21/09/2016 09:06",-99.1461605,19.28849711,-99.1491545,19.29941245,"N",454,0.13,1605,1.605,185,3.083333333
"55",88,"México DF Taxi Libre","21/09/2016 11:11","21/09/2016 11:12",-99.04119441,19.3426889,-99.04093262,19.34219272,"N",24,0.01,100,0.1,13,0.216666667
"56",90,"México DF Taxi de Sitio","21/09/2016 12:38","21/09/2016 12:44",-99.17964554,19.43838757,-99.18138247,19.44531393,"N",329,0.09,1088,1.088,182,3.033333333
"57",91,"México DF Taxi de Sitio","21/09/2016 12:47","21/09/2016 12:52",-99.17957986,19.43868267,-99.18432095,19.43698881,"N",290,0.08,812,0.812,173,2.883333333
"58",93,"México DF Taxi Libre","21/09/2016 02:28","21/09/2016 02:35",-99.18544076,19.48450005,-99.17989205,19.47726425,"N",468,0.13,1743,1.743,156,2.6
"59",97,"México DF Taxi de Sitio","21/09/2016 03:59","21/09/2016 04:08",-99.17949718,19.4385952,-99.17552019,19.44228969,"N",539,0.15,1998,1.998,204,3.4
"60",98,"México DF UberX","21/09/2016 04:42","21/09/2016 04:47",-99.08881326,19.41783344,-99.08975034,19.41730787,"N",334,0.09,339,0.339,316,5.266666667
"61",99,"México DF Taxi de Sitio","21/09/2016 05:04","21/09/2016 05:14",-99.17952878,19.43874922,-99.17250139,19.44751006,"N",583,0.16,2111,2.111,211,3.516666667
"62",102,"México DF Taxi Libre","21/09/2016 12:48","21/09/2016 12:49",-99.14187361,19.37717243,-99.1419539,19.37735184,"N",79,0.02,23,0.023,18,0.3
"63",104,"México DF Taxi Libre","20/09/2016 11:57","21/09/2016 12:13",-99.27447453,19.33301141,-99.29292647,19.32211685,"N",923,0.26,7505,7.505,296,4.933333333
"64",106,"México DF Taxi Libre","22/09/2016 04:51","22/09/2016 04:54",-99.08857504,19.43766258,-99.08835941,19.43760802,"N",163,0.05,27,0.027,433,7.216666667
"65",108,"México DF Taxi Libre","21/04/2017 06:54","21/04/2017 07:19",-99.1718695,19.33265655,-99.14034066,19.302288,"N",1520,0.42,9492,9.492,223,3.716666667
"66",109,"México DF Taxi Libre","21/04/2017 10:15","21/04/2017 10:31",-99.1432917,19.30227,-99.15182034,19.32004432,"N",974,0.27,4324,4.324,220,3.666666667
"67",110,"México DF Taxi Libre","21/04/2017 11:41","21/04/2017 11:53",-99.06453748,19.334737,-99.07632236,19.2991828,"N",718,0.2,6278,6.278,92,1.533333333
