"","municipios_origen","municipios_destino","n"
"1","Iztapalapa","Iztapalapa",871
"2","Miguel Hidalgo","Miguel Hidalgo",762
"3","Álvaro Obregón","Álvaro Obregón",615
"4","Tlalpan","Tlalpan",335
"5","Benito Juárez","Benito Juárez",328
"6","Gustavo A. Madero","Gustavo A. Madero",318
"7","Cuauhtémoc","Cuauhtémoc",310
"8","La Magdalena Contreras","La Magdalena Contreras",263
"9","Xochimilco","Xochimilco",189
"10","Coyoacán","Coyoacán",161
"11","Venustiano Carranza","Venustiano Carranza",152
"12","Ecatepec de Morelos","Ecatepec de Morelos",97
"13","Cuajimalpa de Morelos","Cuajimalpa de Morelos",67
"14","Azcapotzalco","Azcapotzalco",60
"15","Tláhuac","Tláhuac",42
"16","Iztacalco","Iztacalco",35
"17","Nezahualcóyotl","Nezahualcóyotl",32
"18","Coacalco de Berriozábal","Coacalco de Berriozábal",24
"19","Milpa Alta","Milpa Alta",24
"20","Tecámac","Tecámac",16
"21","Tultitlán","Tultitlán",12
"22","Tlalnepantla de Baz","Tlalnepantla de Baz",10
"23","Chalco","Chalco",4
"24","La Paz","La Paz",4
"25","Valle de Chalco Solidaridad","Valle de Chalco Solidaridad",4
"26","Atizapán de Zaragoza","Atizapán de Zaragoza",3
"27","Huixquilucan","Huixquilucan",3
"28","Ixtapaluca","Ixtapaluca",3
"29","Naucalpan de Juárez","Naucalpan de Juárez",2
"30","Tultepec","Tultepec",2
"31","Ahome","Ahome",1
"32","Cuautitlán Izcalli","Cuautitlán Izcalli",1
"33","Emiliano Zapata","Emiliano Zapata",1
"34","Gómez Palacio","Gómez Palacio",1
"35","Kanasín","Kanasín",1
"36","Querétaro","Querétaro",1
"37","Tulancingo de Bravo","Tulancingo de Bravo",1
"38","Veracruz","Veracruz",1
